ブキ名,b[w]推定平均,単純計算した勝率,順位_推定平均,順位_単純計算勝率,差分
h3reelgun_d,0.169949344,56.886%,1,1,0
pablo_hue,0.107421379,53.659%,2,4,2
rapid_elite_deco,0.061661126,52.370%,3,13,10
barrelspinner_deco,0.04499499,50.471%,4,32,28
bamboo14mk1,0.035214423,51.515%,5,19,14
wakaba,0.023343673,50.904%,6,27,21
bucketslosher_deco,0.020212541,53.046%,7,11,4
h3reelgun,0.011463869,55.882%,8,2,-6
nzap85,0.010352303,53.562%,9,6,-3
hokusai,0.009898034,49.402%,10,38,28
rapid,0.009195973,53.316%,11,8,-3
dualsweeper_custom,0.008867429,53.370%,12,7,-5
splatscope_collabo,-0.00890618,53.800%,13,3,-10
bold,-0.015593753,50.725%,14,30,16
sharp_neo,-0.017483156,52.126%,15,14,-1
campingshelter,-0.02668356,48.640%,16,42,26
jetsweeper_custom,-0.033798634,49.259%,17,39,22
hotblaster_custom,-0.035804067,50.326%,18,34,16
hissen,-0.04298546,48.221%,19,43,24
liter4k_custom,-0.050351693,48.000%,20,44,24
explosher,-0.054750467,51.801%,21,18,-3
screwslosher_neo,-0.05615876,52.069%,22,16,-6
nzap89,-0.056530237,48.675%,23,41,18
pablo,-0.0582637,47.985%,24,45,21
promodeler_rg,-0.06051416,46.429%,25,58,33
sputtery,-0.061374442,50.756%,26,29,3
96gal,-0.064408275,51.190%,27,23,-4
spygadget_sorella,-0.066718848,53.266%,28,9,-19
sputtery_hue,-0.06895417,51.358%,29,22,-7
parashelter,-0.0709226,52.857%,30,12,-18
bottlegeyser,-0.075956347,50.000%,31,36,5
bucketslosher,-0.080946495,44.776%,32,70,38
dynamo,-0.08208155,46.595%,33,56,23
rapid_elite,-0.083361378,50.993%,34,26,-8
rapid_deco,-0.084225196,51.103%,35,25,-10
prime_collabo,-0.090061124,51.451%,36,20,-16
l3reelgun,-0.090171001,52.083%,37,15,-22
splatscope,-0.095591543,53.050%,38,10,-28
momiji,-0.097829056,51.104%,39,24,-15
jetsweeper,-0.11002622,43.431%,40,78,38
52gal_deco,-0.115472306,45.070%,41,69,28
clashblaster,-0.118518166,46.154%,42,61,19
longblaster,-0.12491677,50.071%,43,35,-8
splatspinner_collabo,-0.129263255,48.804%,44,40,-4
sharp,-0.130755207,44.444%,45,73,28
maneuver_collabo,-0.132574056,50.789%,46,28,-18
soytuber,-0.132927123,47.826%,47,47,0
sshooter_collabo,-0.135351385,51.836%,48,17,-31
liter4k,-0.142327882,46.639%,49,55,6
bamboo14mk2,-0.143487807,43.662%,50,76,26
splatcharger,-0.149529745,47.719%,51,49,-2
quadhopper_black,-0.15101056,51.367%,52,21,-31
96gal_deco,-0.151755589,43.511%,53,77,24
splatroller_collabo,-0.157166608,47.748%,54,48,-6
nova_neo,-0.161398026,30.303%,55,92,37
spygadget,-0.163486506,53.571%,56,5,-51
bottlegeyser_foil,-0.168962404,46.383%,57,59,2
hissen_hue,-0.172251314,49.488%,58,37,-21
liter4k_scope,-0.179585366,47.436%,59,51,-8
bold_neo,-0.18029529,33.333%,60,91,31
barrelspinner,-0.186557216,50.507%,61,31,-30
screwslosher,-0.190544455,46.087%,62,63,1
sshooter,-0.190846723,46.886%,63,53,-10
l3reelgun_d,-0.192398645,50.450%,64,33,-31
hydra,-0.19708917,44.688%,65,72,7
splatcharger_collabo,-0.20285376,45.513%,66,66,0
carbon_deco,-0.206046563,46.530%,67,57,-10
soytuber_custom,-0.21258745,38.235%,68,89,21
carbon,-0.217915588,46.875%,69,54,-15
campingshelter_sorella,-0.218923988,44.755%,70,71,1
liter4k_scope_custom,-0.233418464,43.284%,71,80,9
kelvin525,-0.235028892,47.475%,72,50,-22
longblaster_custom,-0.241059632,43.011%,73,81,8
nova,-0.251442973,45.205%,74,68,-6
kugelschreiber,-0.253269674,45.220%,75,67,-8
variableroller,-0.254665838,42.767%,76,82,6
squiclean_b,-0.255651288,40.000%,77,87,10
hokusai_hue,-0.256061121,47.131%,78,52,-26
parashelter_sorella,-0.269247541,43.939%,79,75,-4
splatroller,-0.269336944,46.238%,80,60,-20
promodeler_mg,-0.284504094,41.379%,81,85,4
variableroller_foil,-0.298419456,41.739%,82,84,2
maneuver,-0.298541534,43.421%,83,79,-4
dualsweeper,-0.307308359,46.117%,84,62,-22
prime,-0.312102384,45.546%,85,65,-20
52gal,-0.312438863,43.949%,86,74,-12
dynamo_tesla,-0.325106619,47.883%,87,46,-41
clashblaster_neo,-0.327559598,38.750%,88,88,0
hotblaster,-0.355368725,46.018%,89,64,-25
squiclean_a,-0.366997227,36.792%,90,90,0
splatspinner,-0.374635833,40.458%,91,86,-5
kelvin525_deco,-0.43297034,42.705%,92,83,-9
